Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
BUND,HMUZ,-5,1,HMUZ,6
CRUDE_W,Z,-40,-1,FGHJKMNQUVXZ,-11
CRUDE_W_mini,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-11
GBP,HMUZ,-5,1,HMUZ,17
GOLD,GJMQVZ,-30,1,GJMQVZ,26
GOLD_micro,GJMQVZ,-30,1,GJMQVZ,26
SP500,HMUZ,-5,1,HMUZ,14
SP500_micro,HMUZ,-5,1,HMUZ,14
WTI_micro,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-11
