DATETIME,price
2019-09-13,38.04000000000001
2019-09-16,45.47000000000001
2019-09-17,42.02000000000001
2019-09-18,41.07000000000001
2019-09-19,41.36000000000001
2019-09-20,41.29000000000001
2019-09-23,41.87000000000001
2019-09-24,40.53000000000001
2019-09-25,39.77000000000001
2019-09-26,39.73000000000001
2019-09-27,39.24000000000001
2019-09-30,37.43000000000001
2019-10-01,36.95000000000001
2019-10-02,35.96000000000001
2019-10-03,35.81000000000001
2019-10-04,36.19000000000001
2019-10-07,36.16000000000001
2019-10-08,36.07000000000001
2019-10-09,36.06000000000001
2019-10-10,37.01000000000001
2019-10-11,38.23000000000001
2019-10-14,37.27000000000001
2019-10-15,36.500000000000014
2019-10-16,37.05000000000001
2019-10-17,37.55000000000001
2019-10-18,37.31000000000001
2019-10-21,37.10000000000001
2019-10-22,38.030000000000015
2019-10-23,39.51000000000001
2019-10-24,39.820000000000014
2019-10-25,40.280000000000015
2019-10-28,39.52000000000001
2019-10-29,39.33000000000001
2019-10-30,38.63000000000001
2019-10-31,37.85000000000001
2019-11-01,39.84000000000001
2019-11-04,40.16000000000001
2019-11-05,40.84000000000001
2019-11-06,39.890000000000015
2019-11-07,40.62000000000001
2019-11-08,40.79000000000001
2019-11-11,40.460000000000015
2019-11-12,40.430000000000014
2019-11-13,40.780000000000015
2019-11-14,40.460000000000015
2019-11-15,41.38000000000001
2019-11-18,40.69000000000001
2019-11-19,38.95000000000001
2019-11-20,40.570000000000014
2019-11-21,42.10000000000001
2019-11-22,41.35000000000001
2019-11-25,41.60000000000001
2019-11-26,42.01000000000001
2019-11-27,41.74000000000001
2019-11-29,38.83000000000001
2019-12-02,39.60000000000001
2019-12-03,39.72000000000001
2019-12-04,42.030000000000015
2019-12-05,42.030000000000015
2019-12-06,42.79000000000001
2019-12-09,42.610000000000014
2019-12-10,42.83000000000001
2019-12-11,42.34000000000001
2019-12-12,42.750000000000014
2019-12-13,43.65000000000001
2019-12-16,43.850000000000016
2019-12-17,44.48000000000002
2019-12-18,44.54000000000001
2019-12-19,44.850000000000016
2019-12-20,44.34000000000002
2019-12-23,44.460000000000015
2019-12-24,45.04000000000001
2019-12-26,45.55000000000001
2019-12-27,45.600000000000016
2019-12-30,45.490000000000016
2019-12-31,44.80000000000001
2020-01-02,45.030000000000015
2020-01-03,46.87000000000001
2020-01-06,47.08000000000001
2020-01-07,46.600000000000016
2020-01-08,43.62000000000001
2020-01-09,43.640000000000015
2020-01-10,43.240000000000016
2020-01-13,42.38000000000002
2020-01-14,42.58000000000001
2020-01-15,42.16000000000002
2020-01-16,42.820000000000014
2020-01-17,42.90000000000001
2020-01-21,42.73000000000002
2020-01-22,41.15000000000001
2020-01-23,40.000000000000014
2020-01-24,38.59000000000002
2020-01-27,37.570000000000014
2020-01-28,37.91000000000002
2020-01-29,37.80000000000001
2020-01-30,36.62000000000001
2020-01-31,36.070000000000014
2020-02-03,34.670000000000016
2020-02-04,34.19000000000001
2020-02-05,35.31000000000002
2020-02-06,35.530000000000015
2020-02-07,34.94000000000001
2020-02-10,34.15000000000001
2020-02-11,34.58000000000001
2020-02-12,35.81000000000001
2020-02-13,36.05000000000001
2020-02-14,36.69000000000001
2020-02-18,36.72000000000001
2020-02-19,37.80000000000001
2020-02-20,38.030000000000015
2020-02-21,37.44000000000001
2020-02-24,35.570000000000014
2020-02-25,34.030000000000015
2020-02-26,32.860000000000014
2020-02-27,31.34000000000001
2020-02-28,29.000000000000014
2020-03-02,30.95000000000001
2020-03-03,31.350000000000016
2020-03-04,31.010000000000012
2020-03-05,30.110000000000014
2020-03-06,25.670000000000016
2020-03-09,15.840000000000014
2020-03-10,19.040000000000013
2020-03-11,17.760000000000012
2020-03-12,16.41000000000001
2020-03-13,16.490000000000016
2020-03-16,13.450000000000014
2020-03-17,11.950000000000014
2020-03-18,5.8300000000000125
2020-03-19,10.690000000000012
2020-03-20,8.260000000000012
2020-03-23,9.380000000000013
2020-03-24,10.100000000000012
2020-03-25,11.060000000000013
2020-03-26,9.610000000000014
2020-03-27,9.050000000000011
2020-03-30,7.990000000000013
2020-03-31,8.410000000000014
2020-04-01,7.640000000000011
2020-04-02,11.950000000000014
2020-04-03,14.800000000000011
2020-04-06,13.880000000000013
2020-04-07,12.590000000000014
2020-04-08,14.070000000000014
2020-04-09,12.720000000000013
2020-04-13,14.020000000000017
2020-04-14,13.250000000000014
2020-04-15,11.090000000000014
2020-04-16,10.690000000000015
2020-04-17,10.800000000000015
2020-04-20,8.110000000000017
2020-04-21,1.210000000000015
2020-04-22,3.360000000000017
2020-04-23,3.7200000000000166
2020-04-24,3.460000000000015
2020-04-27,1.0200000000000173
2020-04-28,0.7700000000000173
2020-04-29,1.790000000000017
2020-04-30,3.9700000000000166
2020-05-01,3.800000000000015
2020-05-04,4.230000000000015
2020-05-05,7.6900000000000155
2020-05-06,6.640000000000015
2020-05-07,6.090000000000014
2020-05-08,7.650000000000016
2020-05-11,6.360000000000017
2020-05-12,7.030000000000015
2020-05-13,6.400000000000016
2020-05-14,8.260000000000016
2020-05-15,9.720000000000017
2020-05-18,11.870000000000019
2020-05-19,12.070000000000014
2020-05-20,13.540000000000013
2020-05-21,13.940000000000019
2020-05-22,13.250000000000014
2020-05-26,14.370000000000019
2020-05-27,12.830000000000013
2020-05-28,13.660000000000018
2020-05-29,15.440000000000019
2020-06-01,15.390000000000015
2020-06-02,16.660000000000018
2020-06-03,17.19000000000002
2020-06-04,17.320000000000014
2020-06-05,19.400000000000013
2020-06-08,18.030000000000015
