tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
26/01/2023,3.277,20230900,NGU23,14018,0,0,0
27/01/2023,3.284,20230900,NGU23,8520,0,0,0
30/01/2023,3.178,20230900,NGU23,8112,0,0,0
31/01/2023,3.251,20230900,NGU23,13813,0,0,0
01/02/2023,3.133,20230900,NGU23,18569,0,0,0
02/02/2023,3.088,20230900,NGU23,19232,0,0,0
03/02/2023,3.056,20230900,NGU23,17863,0,0,0
06/02/2023,3.058,20230900,NGU23,12437,0,0,0
07/02/2023,3.187,20230900,NGU23,20043,0,0,0
08/02/2023,3.044,20230900,NGU23,23149,0,0,0
09/02/2023,3.032,20230900,NGU23,20221,0,0,0
10/02/2023,3.122,20230900,NGU23,18573,0,0,0
13/02/2023,3.06,20230900,NGU23,18756,0,0,0
14/02/2023,3.144,20230900,NGU23,12428,0,0,0
15/02/2023,3.08,20230900,NGU23,17890,0,0,0
16/02/2023,3.036,20230900,NGU23,16510,0,0,0
17/02/2023,2.906,20230900,NGU23,15000,0,0,0
21/02/2023,2.735,20230900,NGU23,16902,0,0,0
22/02/2023,2.86,20230900,NGU23,15972,0,0,0
23/02/2023,2.988,20230900,NGU23,15313,0,0,0
24/02/2023,3.104,20230900,NGU23,13230,0,0,0
27/02/2023,3.207,20230900,NGU23,15680,0,0,0
28/02/2023,3.231,20230900,NGU23,15155,0,0,0
01/03/2023,3.301,20230900,NGU23,17531,0,0,0
02/03/2023,3.276,20230900,NGU23,12089,0,0,0
03/03/2023,3.485,20230900,NGU23,13090,0,0,0
06/03/2023,3.122,20230900,NGU23,17163,0,0,0
07/03/2023,3.256,20230900,NGU23,18229,0,0,0
08/03/2023,3.157,20230900,NGU23,16017,0,0,0
09/03/2023,3.13,20230900,NGU23,17480,0,0,0
10/03/2023,3.031,20230900,NGU23,15747,0,0,0
13/03/2023,3.186,20230900,NGU23,15653,0,0,0
14/03/2023,3.124,20230900,NGU23,12218,0,0,0
15/03/2023,2.964,20230900,NGU23,14261,0,0,0
16/03/2023,3.021,20230900,NGU23,12434,0,0,0
17/03/2023,2.862,20230900,NGU23,12242,0,0,0
20/03/2023,2.778,20230900,NGU23,8865,0,0,0
21/03/2023,2.952,20230900,NGU23,13820,0,0,0
22/03/2023,2.805,20230900,NGU23,15301,0,0,0
23/03/2023,2.802,20230900,NGU23,10705,0,0,0
24/03/2023,2.868,20230900,NGU23,8316,0,0,0
27/03/2023,2.736,20230900,NGU23,14501,0,0,0
28/03/2023,2.689,20230900,NGU23,11860,0,0,0
29/03/2023,2.751,20230900,NGU23,14388,0,0,0
30/03/2023,2.656,20230900,NGU23,14637,0,0,0
31/03/2023,2.75,20230900,NGU23,15042,0,0,0
03/04/2023,2.616,20230900,NGU23,18024,0,0,0
04/04/2023,2.626,20230900,NGU23,19455,0,0,0
05/04/2023,2.655,20230900,NGU23,17189,0,0,0
06/04/2023,2.527,20230900,NGU23,17189,0,0,0
10/04/2023,2.63,20230900,NGU23,25721,0,0,0
11/04/2023,2.606,20230900,NGU23,22166,0,0,0
12/04/2023,2.526,20230900,NGU23,21852,0,0,0
13/04/2023,2.468,20230900,NGU23,16223,0,0,0
14/04/2023,2.578,20230900,NGU23,23236,0,0,0
17/04/2023,2.688,20230900,NGU23,26507,0,0,0
18/04/2023,2.747,20230900,NGU23,18984,0,0,0
19/04/2023,2.637,20230900,NGU23,22483,0,0,0
20/04/2023,2.676,20230900,NGU23,18585,0,0,0
21/04/2023,2.653,20230900,NGU23,15013,0,0,0
24/04/2023,2.723,20230900,NGU23,19925,0,0,0
25/04/2023,2.684,20230900,NGU23,17903,0,0,0
26/04/2023,2.553,20230900,NGU23,28229,0,0,0
27/04/2023,2.6,20230900,NGU23,14817,0,0,0
28/04/2023,2.626,20230900,NGU23,28655,0,0,0
01/05/2023,2.546,20230900,NGU23,15190,0,0,0
02/05/2023,2.48,20230900,NGU23,36063,0,0,0
03/05/2023,2.422,20230900,NGU23,29012,0,0,0
04/05/2023,2.366,20230900,NGU23,24624,0,0,0
05/05/2023,2.4,20230900,NGU23,33816,0,0,0
08/05/2023,2.493,20230900,NGU23,30523,0,0,0
09/05/2023,2.505,20230900,NGU23,32990,0,0,0
10/05/2023,2.415,20230900,NGU23,34540,0,0,0
11/05/2023,2.425,20230900,NGU23,25149,0,0,0
12/05/2023,2.527,20230900,NGU23,41018,0,0,0
15/05/2023,2.62,20230900,NGU23,23472,0,0,0
16/05/2023,2.598,20230900,NGU23,23382,0,0,0
17/05/2023,2.574,20230900,NGU23,25977,0,0,0
18/05/2023,2.77,20230900,NGU23,49121,0,0,0
19/05/2023,2.747,20230900,NGU23,41809,0,0,0
22/05/2023,2.609,20230900,NGU23,33955,0,0,0
23/05/2023,2.555,20230900,NGU23,36067,0,0,0
24/05/2023,2.633,20230900,NGU23,33315,0,0,0
25/05/2023,2.554,20230900,NGU23,35660,0,0,0
26/05/2023,2.503,20230900,NGU23,38382,0,0,0
30/05/2023,2.415,20230900,NGU23,39592,0,0,0
31/05/2023,2.358,20230900,NGU23,37211,0,0,0
01/06/2023,2.277,20230900,NGU23,57240,0,0,0
02/06/2023,2.316,20230900,NGU23,34715,0,0,0
05/06/2023,2.384,20230900,NGU23,39650,0,0,0
06/06/2023,2.402,20230900,NGU23,52068,0,0,0
07/06/2023,2.448,20230900,NGU23,85190,0,0,0
08/06/2023,2.44,20230900,NGU23,105458,0,0,0
09/06/2023,2.338,20230900,NGU23,80549,0,0,0
12/06/2023,2.348,20230900,NGU23,87350,0,0,0
13/06/2023,2.416,20230900,NGU23,88136,0,0,0
14/06/2023,2.416,20230900,NGU23,47770,0,0,0
15/06/2023,2.606,20230900,NGU23,111605,0,0,0
16/06/2023,2.715,20230900,NGU23,65834,0,0,0
20/06/2023,2.557,20230900,NGU23,82141,0,0,0
21/06/2023,2.666,20230900,NGU23,53149,0,0,0
22/06/2023,2.694,20230900,NGU23,42624,0,0,0
23/06/2023,2.824,20230900,NGU23,77432,0,0,0
26/06/2023,2.868,20230900,NGU23,70921,0,0,0
27/06/2023,2.755,20230900,NGU23,79871,0,0,0
28/06/2023,2.646,20230900,NGU23,68196,0,0,0
29/06/2023,2.691,20230900,NGU23,64208,0,0,0
30/06/2023,2.774,20230900,NGU23,67446,0,0,0
03/07/2023,2.702,20230900,NGU23,42565,0,0,0
05/07/2023,2.643,20230900,NGU23,57566,0,0,0
06/07/2023,2.599,20230900,NGU23,53430,0,0,0
07/07/2023,2.57,20230900,NGU23,46468,0,0,0
10/07/2023,2.641,20230900,NGU23,72912,0,0,0
11/07/2023,2.692,20230900,NGU23,81336,0,0,0
12/07/2023,2.597,20230900,NGU23,99288,0,0,0
13/07/2023,2.534,20230900,NGU23,120191,0,0,0
14/07/2023,2.53,20230900,NGU23,115682,0,0,0
17/07/2023,2.504,20230900,NGU23,90906,0,0,0
18/07/2023,2.618,20230900,NGU23,101524,0,0,0
19/07/2023,2.585,20230900,NGU23,81164,0,0,0
20/07/2023,2.731,20230900,NGU23,147712,0,0,0
21/07/2023,2.707,20230900,NGU23,103192,0,0,0
24/07/2023,2.688,20230900,NGU23,109320,0,0,0
25/07/2023,2.747,20230900,NGU23,146118,0,0,0
26/07/2023,2.693,20230900,NGU23,139070,0,0,0
27/07/2023,2.595,20230900,NGU23,166760,0,0,0
28/07/2023,2.638,20230900,NGU23,136505,0,0,0
31/07/2023,2.634,20230900,NGU23,97877,0,0,0
01/08/2023,2.56,20230900,NGU23,135522,0,0,0
02/08/2023,2.477,20230900,NGU23,147612,0,0,0
03/08/2023,2.565,20230900,NGU23,139151,0,0,0
04/08/2023,2.577,20230900,NGU23,104012,0,0,0
