tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
11/09/2020,2.812,20230200,NGG23,0,0,0,0
14/09/2020,2.82,20230200,NGG23,0,0,0,0
15/09/2020,2.827,20230200,NGG23,3,0,0,0
16/09/2020,2.825,20230200,NGG23,6,0,0,0
17/09/2020,2.821,20230200,NGG23,0,0,0,0
18/09/2020,2.821,20230200,NGG23,0,0,0,0
21/09/2020,2.818,20230200,NGG23,0,0,0,0
22/09/2020,2.832,20230200,NGG23,20,0,0,0
23/09/2020,2.834,20230200,NGG23,0,0,0,0
24/09/2020,2.844,20230200,NGG23,10,0,0,0
25/09/2020,2.832,20230200,NGG23,0,0,0,0
28/09/2020,2.838,20230200,NGG23,0,0,0,0
29/09/2020,2.811,20230200,NGG23,0,0,0,0
30/09/2020,2.807,20230200,NGG23,7,0,0,0
01/10/2020,2.807,20230200,NGG23,0,0,0,0
02/10/2020,2.811,20230200,NGG23,8,0,0,0
05/10/2020,2.818,20230200,NGG23,5,0,0,0
06/10/2020,2.81,20230200,NGG23,0,0,0,0
07/10/2020,2.814,20230200,NGG23,0,0,0,0
08/10/2020,2.814,20230200,NGG23,3,0,0,0
09/10/2020,2.818,20230200,NGG23,0,0,0,0
12/10/2020,2.819,20230200,NGG23,0,0,0,0
13/10/2020,2.84,20230200,NGG23,20,0,0,0
14/10/2020,2.841,20230200,NGG23,0,0,0,0
15/10/2020,2.866,20230200,NGG23,15,0,0,0
16/10/2020,2.898,20230200,NGG23,6,0,0,0
19/10/2020,2.919,20230200,NGG23,0,0,0,0
20/10/2020,2.915,20230200,NGG23,9,0,0,0
21/10/2020,2.933,20230200,NGG23,10,0,0,0
22/10/2020,2.939,20230200,NGG23,5,0,0,0
23/10/2020,2.934,20230200,NGG23,27,0,0,0
26/10/2020,2.946,20230200,NGG23,0,0,0,0
27/10/2020,2.947,20230200,NGG23,2,0,0,0
28/10/2020,2.951,20230200,NGG23,5,0,0,0
29/10/2020,2.964,20230200,NGG23,0,0,0,0
30/10/2020,2.982,20230200,NGG23,0,0,0,0
02/11/2020,2.966,20230200,NGG23,140,0,0,0
03/11/2020,2.954,20230200,NGG23,12,0,0,0
04/11/2020,2.936,20230200,NGG23,0,0,0,0
05/11/2020,2.951,20230200,NGG23,7,0,0,0
06/11/2020,2.954,20230200,NGG23,0,0,0,0
