tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
26/10/2017,552.25,20200300,ZWH20,0,0,0,0
27/10/2017,548.75,20200300,ZWH20,0,0,0,0
30/10/2017,548.5,20200300,ZWH20,0,0,0,0
31/10/2017,547.0,20200300,ZWH20,0,0,0,0
01/11/2017,551.5,20200300,ZWH20,0,0,0,0
02/11/2017,555.25,20200300,ZWH20,0,0,0,0
03/11/2017,554.75,20200300,ZWH20,0,0,0,0
06/11/2017,555.0,20200300,ZWH20,0,0,0,0
07/11/2017,554.25,20200300,ZWH20,0,0,0,0
08/11/2017,553.25,20200300,ZWH20,0,0,0,0
09/11/2017,551.0,20200300,ZWH20,0,0,0,0
10/11/2017,554.5,20200300,ZWH20,0,0,0,0
13/11/2017,550.5,20200300,ZWH20,0,0,0,0
14/11/2017,551.0,20200300,ZWH20,0,0,0,0
15/11/2017,548.25,20200300,ZWH20,0,0,0,0
16/11/2017,548.0,20200300,ZWH20,0,0,0,0
17/11/2017,550.5,20200300,ZWH20,0,0,0,0
20/11/2017,547.5,20200300,ZWH20,0,0,0,0
21/11/2017,549.0,20200300,ZWH20,0,0,0,0
22/11/2017,548.75,20200300,ZWH20,0,0,0,0
24/11/2017,547.75,20200300,ZWH20,0,0,0,0
27/11/2017,547.0,20200300,ZWH20,0,0,0,0
28/11/2017,546.25,20200300,ZWH20,0,0,0,0
29/11/2017,548.0,20200300,ZWH20,0,0,0,0
30/11/2017,545.75,20200300,ZWH20,0,0,0,0
01/12/2017,550.25,20200300,ZWH20,0,0,0,0
04/12/2017,549.0,20200300,ZWH20,0,0,0,0
05/12/2017,547.0,20200300,ZWH20,0,0,0,0
06/12/2017,543.5,20200300,ZWH20,0,0,0,0
07/12/2017,542.0,20200300,ZWH20,0,0,0,0
08/12/2017,537.25,20200300,ZWH20,0,0,0,0
11/12/2017,534.0,20200300,ZWH20,0,0,0,0
12/12/2017,529.0,20200300,ZWH20,0,0,0,0
13/12/2017,533.5,20200300,ZWH20,0,0,0,0
14/12/2017,534.5,20200300,ZWH20,0,0,0,0
15/12/2017,535.0,20200300,ZWH20,0,0,0,0
