tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
14/06/2019,2.62,20211100,NGX21,4,0,0,0
17/06/2019,2.623,20211100,NGX21,0,0,0,0
18/06/2019,2.611,20211100,NGX21,1,0,0,0
19/06/2019,2.603,20211100,NGX21,1,0,0,0
20/06/2019,2.599,20211100,NGX21,4,0,0,0
21/06/2019,2.614,20211100,NGX21,22,0,0,0
24/06/2019,2.624,20211100,NGX21,25,0,0,0
25/06/2019,2.605,20211100,NGX21,18,0,0,0
26/06/2019,2.597,20211100,NGX21,1,0,0,0
27/06/2019,2.593,20211100,NGX21,1,0,0,0
28/06/2019,2.571,20211100,NGX21,1,0,0,0
01/07/2019,2.551,20211100,NGX21,81,0,0,0
02/07/2019,2.547,20211100,NGX21,8,0,0,0
03/07/2019,2.545,20211100,NGX21,0,0,0,0
05/07/2019,2.558,20211100,NGX21,1,0,0,0
08/07/2019,2.554,20211100,NGX21,1,0,0,0
09/07/2019,2.567,20211100,NGX21,11,0,0,0
10/07/2019,2.577,20211100,NGX21,2,0,0,0
11/07/2019,2.586,20211100,NGX21,15,0,0,0
12/07/2019,2.591,20211100,NGX21,3,0,0,0
15/07/2019,2.588,20211100,NGX21,10,0,0,0
16/07/2019,2.561,20211100,NGX21,0,0,0,0
17/07/2019,2.56,20211100,NGX21,19,0,0,0
18/07/2019,2.556,20211100,NGX21,12,0,0,0
19/07/2019,2.549,20211100,NGX21,15,0,0,0
22/07/2019,2.552,20211100,NGX21,10,0,0,0
23/07/2019,2.551,20211100,NGX21,3,0,0,0
24/07/2019,2.544,20211100,NGX21,43,0,0,0
25/07/2019,2.545,20211100,NGX21,2,0,0,0
26/07/2019,2.54,20211100,NGX21,2,0,0,0
29/07/2019,2.529,20211100,NGX21,30,0,0,0
30/07/2019,2.532,20211100,NGX21,50,0,0,0
31/07/2019,2.538,20211100,NGX21,103,0,0,0
01/08/2019,2.546,20211100,NGX21,130,0,0,0
02/08/2019,2.533,20211100,NGX21,84,0,0,0
05/08/2019,2.519,20211100,NGX21,110,0,0,0
06/08/2019,2.508,20211100,NGX21,20,0,0,0
07/08/2019,2.494,20211100,NGX21,22,0,0,0
08/08/2019,2.491,20211100,NGX21,3,0,0,0
