tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
02/01/2020,28573,20200200,HSG20,801,0,0,0
03/01/2020,28422,20200200,HSG20,1133,0,0,0
06/01/2020,28158,20200200,HSG20,1641,0,0,0
07/01/2020,28350,20200200,HSG20,1191,0,0,0
08/01/2020,28022,20200200,HSG20,999,0,0,0
09/01/2020,28597,20200200,HSG20,419,0,0,0
10/01/2020,28632,20200200,HSG20,1727,0,0,0
13/01/2020,28932,20200200,HSG20,2050,0,0,0
14/01/2020,28775,20200200,HSG20,1675,0,0,0
15/01/2020,28730,20200200,HSG20,1983,0,0,0
16/01/2020,28866,20200200,HSG20,1413,0,0,0
17/01/2020,29048,20200200,HSG20,3997,0,0,0
20/01/2020,28680,20200200,HSG20,15515,0,0,0
21/01/2020,27876,20200200,HSG20,26620,0,0,0
22/01/2020,28287,20200200,HSG20,67324,0,0,0
23/01/2020,27780,20200200,HSG20,29704,0,0,0
24/01/2020,27880,20200200,HSG20,93226,0,0,0
29/01/2020,27058,20200200,HSG20,197853,0,0,0
30/01/2020,26350,20200200,HSG20,196392,0,0,0
31/01/2020,26233,20200200,HSG20,228718,0,0,0
03/02/2020,26200,20200200,HSG20,203267,0,0,0
04/02/2020,26776,20200200,HSG20,205473,0,0,0
05/02/2020,26740,20200200,HSG20,240177,0,0,0
06/02/2020,27382,20200200,HSG20,169522,0,0,0
07/02/2020,27274,20200200,HSG20,171563,0,0,0
10/02/2020,27094,20200200,HSG20,153488,0,0,0
11/02/2020,27565,20200200,HSG20,151850,0,0,0
12/02/2020,27770,20200200,HSG20,151925,0,0,0
13/02/2020,27659,20200200,HSG20,153765,0,0,0
14/02/2020,27753,20200200,HSG20,141383,0,0,0
17/02/2020,27842,20200200,HSG20,145681,0,0,0
18/02/2020,27426,20200200,HSG20,142797,0,0,0
19/02/2020,27565,20200200,HSG20,193258,0,0,0
20/02/2020,27420,20200200,HSG20,170147,0,0,0
21/02/2020,27200,20200200,HSG20,227912,0,0,0
24/02/2020,26663,20200200,HSG20,245711,0,0,0
25/02/2020,26754,20200200,HSG20,201424,0,0,0
26/02/2020,26580,20200200,HSG20,50355,0,0,0
27/02/2020,26554,20200200,HSG20,50355,0,0,0
