tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
15/10/2021,78.6,20230400,LHJ23,0,0,0,0
18/10/2021,79.075,20230400,LHJ23,0,0,0,0
19/10/2021,78.0,20230400,LHJ23,0,0,0,0
20/10/2021,77.45,20230400,LHJ23,0,0,0,0
21/10/2021,75.725,20230400,LHJ23,0,0,0,0
22/10/2021,76.575,20230400,LHJ23,0,0,0,0
25/10/2021,76.325,20230400,LHJ23,0,0,0,0
26/10/2021,75.9,20230400,LHJ23,0,0,0,0
27/10/2021,76.025,20230400,LHJ23,0,0,0,0
28/10/2021,77.175,20230400,LHJ23,0,0,0,0
29/10/2021,79.475,20230400,LHJ23,0,0,0,0
01/11/2021,79.975,20230400,LHJ23,0,0,0,0
02/11/2021,79.4,20230400,LHJ23,0,0,0,0
03/11/2021,80.1,20230400,LHJ23,0,0,0,0
04/11/2021,80.45,20230400,LHJ23,2,0,0,0
05/11/2021,81.15,20230400,LHJ23,1,0,0,0
08/11/2021,81.05,20230400,LHJ23,0,0,0,0
09/11/2021,81.225,20230400,LHJ23,1,0,0,0
10/11/2021,81.15,20230400,LHJ23,0,0,0,0
11/11/2021,81.2,20230400,LHJ23,0,0,0,0
12/11/2021,81.35,20230400,LHJ23,0,0,0,0
15/11/2021,81.425,20230400,LHJ23,0,0,0,0
16/11/2021,81.3,20230400,LHJ23,0,0,0,0
17/11/2021,81.6,20230400,LHJ23,0,0,0,0
18/11/2021,81.9,20230400,LHJ23,1,0,0,0
19/11/2021,82.4,20230400,LHJ23,0,0,0,0
22/11/2021,82.325,20230400,LHJ23,0,0,0,0
23/11/2021,82.425,20230400,LHJ23,0,0,0,0
24/11/2021,81.475,20230400,LHJ23,0,0,0,0
26/11/2021,79.85,20230400,LHJ23,0,0,0,0
29/11/2021,81.275,20230400,LHJ23,0,0,0,0
30/11/2021,81.125,20230400,LHJ23,0,0,0,0
01/12/2021,81.2,20230400,LHJ23,0,0,0,0
02/12/2021,81.3,20230400,LHJ23,0,0,0,0
03/12/2021,81.05,20230400,LHJ23,0,0,0,0
06/12/2021,80.425,20230400,LHJ23,0,0,0,0
07/12/2021,80.25,20230400,LHJ23,0,0,0,0
08/12/2021,79.9,20230400,LHJ23,0,0,0,0
09/12/2021,80.4,20230400,LHJ23,0,0,0,0
10/12/2021,82.0,20230400,LHJ23,0,0,0,0
13/12/2021,82.0,20230400,LHJ23,0,0,0,0
14/12/2021,82.0,20230400,LHJ23,2,0,0,0
15/12/2021,81.625,20230400,LHJ23,0,0,0,0
16/12/2021,82.0,20230400,LHJ23,5,0,0,0
17/12/2021,82.05,20230400,LHJ23,0,0,0,0
20/12/2021,81.0,20230400,LHJ23,0,0,0,0
21/12/2021,81.75,20230400,LHJ23,1,0,0,0
22/12/2021,82.4,20230400,LHJ23,1,0,0,0
23/12/2021,81.9,20230400,LHJ23,0,0,0,0
27/12/2021,83.025,20230400,LHJ23,0,0,0,0
28/12/2021,83.775,20230400,LHJ23,0,0,0,0
29/12/2021,83.4,20230400,LHJ23,1,0,0,0
30/12/2021,83.425,20230400,LHJ23,6,0,0,0
31/12/2021,83.675,20230400,LHJ23,1,0,0,0
03/01/2022,83.825,20230400,LHJ23,0,0,0,0
04/01/2022,84.325,20230400,LHJ23,20,0,0,0
05/01/2022,84.5,20230400,LHJ23,100,0,0,0
06/01/2022,84.45,20230400,LHJ23,5,0,0,0
07/01/2022,84.5,20230400,LHJ23,12,0,0,0
10/01/2022,83.325,20230400,LHJ23,8,0,0,0
11/01/2022,84.25,20230400,LHJ23,4,0,0,0
12/01/2022,85.3,20230400,LHJ23,50,0,0,0
13/01/2022,85.175,20230400,LHJ23,111,0,0,0
14/01/2022,85.0,20230400,LHJ23,167,0,0,0
18/01/2022,85.35,20230400,LHJ23,4,0,0,0
19/01/2022,85.525,20230400,LHJ23,400,0,0,0
20/01/2022,85.75,20230400,LHJ23,388,0,0,0
21/01/2022,85.4,20230400,LHJ23,43,0,0,0
24/01/2022,85.025,20230400,LHJ23,29,0,0,0
25/01/2022,85.425,20230400,LHJ23,66,0,0,0
26/01/2022,85.1,20230400,LHJ23,10,0,0,0
27/01/2022,84.6,20230400,LHJ23,63,0,0,0
